Merge Sort Serial;1000;0,001515;0
Merge Sort Paralelo;1000;0,003891;2
Merge Sort Serial;10000;0,001959;0
Merge Sort Paralelo;10000;0,003362;2
Merge Sort Paralelo;100000;0,007853;2
Merge Sort Serial;100000;0,012971;0
Merge Sort Paralelo;200000;0,012724;2
Merge Sort Serial;200000;0,024389;0
Merge Sort Paralelo;100000000;9,730470;2
Merge Sort Serial;100000000;18,510681;0
Merge Sort Serial;1000;0,000109;0
Merge Sort Paralelo;1000;0,001236;6
Merge Sort Serial;10000;0,001371;0
Merge Sort Paralelo;10000;0,001307;6
Merge Sort Paralelo;100000;0,005662;6
Merge Sort Serial;100000;0,014772;0
Merge Sort Paralelo;200000;0,010308;6
Merge Sort Serial;200000;0,031346;0
Merge Sort Paralelo;100000000;5,293171;6
Merge Sort Serial;100000000;17,981023;0
Merge Sort Serial;1000;0,000070;0
Merge Sort Paralelo;1000;0,001792;10
Merge Sort Serial;10000;0,000904;0
Merge Sort Paralelo;10000;0,001610;10
Merge Sort Paralelo;100000;0,003750;10
Merge Sort Serial;100000;0,011194;0
Merge Sort Paralelo;200000;0,006417;10
Merge Sort Serial;200000;0,023749;0
Merge Sort Paralelo;100000000;3,894849;10
Merge Sort Serial;100000000;18,325996;0
